Holding,Symbol,Weighting
Prosegur Compania de Seguridad SA,PSG,0.0093%
Salvatore Ferragamo SpA,SFER,0.0093%
Neoen SA,NEOEN,0.0092%
Fagron NV,FAGR,0.0092%
Nordic Semiconductor ASA,NOD,0.0092%
Metropole Television SA,MMT,0.0092%
Brederode SA,BREB,0.0091%
Senior PLC,SNR,0.009%
Outotec Oyj,OTE1V,0.009%
Arjo AB (publ),ARJO.B,0.009%
Lagercrantz Group AB,LAGR.B,0.009%
Terveystalo Oyj,TTALO,0.009%
Amadeus Fire AG,AAD,0.009%
S Immo AG,SPI,0.009%
Mediaset Espana Comunicacion SA,TL5,0.0089%
Komax Holding AG,KOMN,0.0089%
Equiniti Group PLC,EQN,0.0089%
Schouw & Co A/S,SCHO,0.0089%
Patrizia AG,PAT,0.0089%
Hyve Group PLC,HYVE,0.0089%
Sabre Insurance Group PLC,SBRE,0.0088%
Citycon Oyj,CTY1S,0.0087%
Almirall SA,ALM,0.0087%
Catena AB,CATE,0.0087%
Borregaard ASA,BRG,0.0087%
Lindab International AB,LIAB,0.0087%
Vallourec SA,VK,0.0087%
Television Francaise 1 SA,TFI,0.0086%
Retail Estates NV,RET,0.0086%
Grupa Kety SA,KTY,0.0086%
St Galler Kantonalbank AG,SGKN,0.0086%
Zealand Pharma A/S,ZEAL,0.0085%
James Fisher and Sons PLC,FSJ,0.0085%
Sonae SGPS SA,SON,0.0085%
Berner Kantonalbank AG,BEKN,0.0085%
Mediaset SpA,MS,0.0085%
Vaisala Oyj,VAIAS,0.0084%
Bank Millennium SA,MIL,0.0084%
Tamburi Investment Partners SpA,TIP,0.0084%
Play Communications SA,PLY,0.0083%
Kinepolis Group NV,KIN,0.0083%
ADO Properties SA,ADJ,0.0083%
Fnac Darty SA,FNAC,0.0083%
Altarea SCA,ALTA,0.0083%
Flow Traders NV,FLOW,0.0083%
SIG PLC,SHI,0.0083%
Mercialys SA,MERY,0.0083%
Austevoll Seafood ASA,AUSS,0.0082%
Tecnicas Reunidas SA,TRE,0.0082%
IP Group PLC,IPO,0.0082%
Xior Student Housing NV,XIOR,0.0082%
Forterra PLC,FORT,0.0082%
Bonava AB (publ),BONAV.B,0.0082%
Shurgard Self Storage SA,SHUR,0.0081%
Resurs Holding AB (publ),RESURS,0.0081%
Chemring Group PLC,CHG,0.0081%
Acea SpA,ACE,0.0081%
Saras SpA,SRS,0.0081%
Sparebank 1 Nord-Norge,NONG,0.008%
Stagecoach Group PLC,SGC,0.008%
Instone Real Estate Group AG,INS,0.0079%
Corporacion Financiera Alba SA,ALB,0.0079%
Sanoma Oyj,SAA1V,0.0078%
Bilfinger SE,GBF,0.0078%
DMG Mori AG,GIL,0.0078%
PZ Cussons PLC,PZC,0.0077%
Rockwool International A/S,ROCK.A,0.0077%
Biotage AB,BIOT,0.0077%
Trigano SA,TRI,0.0077%
Euskaltel SA,EKT,0.0076%
Amrest Holdings SE,EAT,0.0076%
Hunting PLC,HTG,0.0075%
Navigator Company SA,NVG,0.0075%
Quadient SA,QDT,0.0075%
UK Commercial Property REIT Ltd,UKCM,0.0075%
Coor Service Management Holding AB,COOR,0.0075%
TomTom NV,TOM2,0.0074%
Construcciones y Auxiliar de Ferrocarriles SA,CAF,0.0074%
AddLife AB,ALIF.B,0.0074%
Nobia AB,NOBI,0.0074%
Indus Holding AG,INH,0.0074%
Nordex SE,NDX1,0.0074%
SSAB AB,SSAB.A,0.0073%
Spar Nord Bank A/S,SPNO,0.0073%
Gamesys Group PLC,GYS,0.0072%
Scandinavian Tobacco Group A/S,STG,0.0072%
Modern Times Group MTG AB,MTG.B,0.0072%
Tessenderlo Group NV,TESB,0.0072%
Salzgitter AG,SZG,0.0072%
Gestamp Automocion SA,GEST,0.0071%
VGP NV,VGP,0.0071%
Bank of Georgia Group PLC,BGEO,0.0071%
Asiakastieto Group Plc,ATG1V,0.007%
Bavarian Nordic A/S,BAVA,0.007%
Grieg Seafood ASA,GSF,0.007%
Granges AB,GRNG,0.007%
Empiric Student Property PLC,ESP,0.007%
Dios Fastigheter AB,DIOS,0.0069%
Wereldhave NV,WHA,0.0069%
Agfa Gevaert NV,AGFB,0.0069%
Platzer Fastigheter Holding AB (publ),PLAZ.B,0.0068%
Olvi Oyj,OLVAS,0.0068%
RIB Software SE,RIB,0.0068%
Biogaia AB,BIOG.B,0.0068%
AMG Advanced Metallurgical Group NV,AMG,0.0067%
Marr SpA,MARR,0.0067%
Ratos AB,RATO.B,0.0067%
Hamborner REIT AG,HAB,0.0067%
Liberbank SA,LBK,0.0067%
Revenio Group Oyj,REG1V,0.0067%
Saga PLC,SAGA,0.0067%
WashTec AG,WSU,0.0066%
Neinor Homes SA,HOME,0.0066%
On The Beach Group PLC,OTB,0.0066%
Recipharm AB (publ),RECI.B,0.0066%
Scandic Hotels Group AB,SHOT,0.0066%
Dno ASA,DNO,0.0066%
Uponor Oyj,UPONOR,0.0066%
Beijer Alma AB,BEIA.B,0.0065%
DEUTZ AG,DEZ,0.0065%
Societe Fonciere Lyonnaise SA,FLY,0.0065%
Caverion Oyj,CAV1V,0.0065%
Borr Drilling Ltd,BDRILL,0.0064%
Jungfraubahn Holding AG,JFN,0.0064%
A.G.Barr PLC,BAG,0.0064%
Kaufman & Broad SA,KOF,0.0064%
PGS ASA,PGS,0.0064%
Kruk SA,KRU,0.0064%
Pfeiffer Vacuum Technology AG,PFV,0.0064%
McCarthy & Stone PLC,MCS,0.0063%
Tokmanni Group Corp,TOKMAN,0.0062%
Fenix Outdoor International AG,FOI.B,0.0062%
Sbanken ASA,SBANK,0.0062%
Mitie Group PLC,MTO,0.0061%
Frasers Group PLC,FRAS,0.0061%
SDL PLC,SDL,0.0061%
Genfit SA,GNFT,0.0061%
Norway Royal Salmon ASA,NRS,0.0061%
Banca Farmafactoring SpA,BFF,0.0061%
New Work SE,NWO,0.0061%
BW Offshore Ltd,BWO,0.0061%
Fingerprint Cards AB,FING.B,0.0061%
Cramo Oyj,CRA1V,0.006%
Essity AB (publ),ESSITY.A,0.006%
CellaVision AB,CEVI,0.006%
Aktia Bank Abp,AKTIA,0.006%
Cloetta AB,CLA.B,0.006%
Lassila & Tikanoja Oyj,LAT1V,0.006%
KWS SAAT SE & Co KgaA,KWS,0.0059%
Aannemingsmaatschappij Cfe NV,CFEB,0.0059%
Orange Belgium SA,OBEL,0.0059%
Intervest Offices & Warehouses NV,INTO,0.0059%
Concentric AB,COIC,0.0059%
Klovern AB,KLOV.PREF,0.0059%
Liechtensteinische Landesbank AG,LLBN,0.0059%
Care Property Invest NV,CPINV,0.0059%
illimity Bank SpA,ILTY,0.0058%
BW LPG Ltd,BWLPG,0.0058%
Attendo AB (publ),ATT,0.0058%
Alior Bank SA,ALR,0.0058%
Hansteen Holdings PLC,HSTN,0.0058%
Fiskars Oyj Abp,FSKRS,0.0058%
Maisons du Monde SA,MDM,0.0057%
Rai Way SpA,RWAY,0.0057%
Elkem ASA,ELK,0.0057%
EVN AG,EVN,0.0056%
Nkt A/S,NKT,0.0056%
Europris ASA,EPR,0.0056%
Nobina AB (publ),NOBINA,0.0055%
Buzzi Unicem SpA,BZUR,0.0055%
Budimex SA,BDX,0.0054%
Falck Renewables SpA,FKR,0.0054%
Instalco AB,INSTAL,0.0054%
Italmobiliare SpA,ITM,0.0054%
Carel Industries SpA,CRL,0.0054%
Atrium European Real Estate Ltd,ATRS,0.0054%
U Blox Holding AG,UBXN,0.0054%
Ferrexpo PLC,FXPO,0.0054%
Addnode Group AB (publ),ANOD.B,0.0053%
TBC Bank Group PLC,TBCG,0.0053%
Schoeller Bleckmann Oilfield Equipment AG,SBO,0.0053%
Olav Thon Eiendomsselskap ASA,OLT,0.0052%
ALM. Brand A/S,ALMB,0.0052%
TietoEVRY Corp,TIETO,0.0052%
DO & CO AG,DOC,0.0052%
Ence Energia y Celulosa SA,ENC,0.0052%
AT & S Austria Technologie & Systemtechnik AG,ATS,0.0052%
Gruppo MutuiOnline SpA,MOL,0.0052%
Tikkurila Oyj,TIK1V,0.0052%
Norwegian Energy Company ASA,NOR,0.0052%
Per Aarsleff Holding A/S,PAAL.B,0.0052%
NetEnt AB (publ),NET.B,0.0051%
Banca Monte dei Paschi di Siena SpA,BMPS,0.0051%
Bell Food Group AG,BELL,0.0051%
Bank of Cyprus Holdings PLC,BOCH,0.005%
Burckhardt Compression Holding AG,BCHN,0.005%
Tod's SpA,TOD,0.005%
Medicover AB,MCOV.B,0.005%
Fagerhult AB,FAG,0.005%
Betsson AB,BETS.B,0.005%
HMS Networks AB,HMS,0.0049%
Zooplus AG,ZO1,0.0049%
doValue SpA,DOV,0.0049%
Telefonaktiebolaget LM Ericsson,ERIC.A,0.0049%
Vitec Software Group AB (publ),VIT.B,0.0048%
Wacker Neuson SE,WAC,0.0048%
Piaggio & C SpA,PIA,0.0048%
Altri SGPS SA,ALTR,0.0048%
FastPartner AB,FPAR.A,0.0047%
Dustin Group AB,DUST,0.0047%
Adler Real Estate AG,ADL,0.0047%
Borussia Dortmund GmbH & Co KGaA,BVB,0.0047%
Benefit Systems SA,BFT,0.0046%
Kloeckner & Co SE,KCO,0.0046%
Interparfums SA,ITP,0.0046%
Banca Piccolo Credito Valtellinese SpA,CVAL,0.0046%
Adapteo Oyj,ADAPT,0.0046%
Alimak Group AB (publ),ALIG,0.0046%
Mips AB,MIPS,0.0045%
Troax Group AB (publ),TROAX,0.0045%
SkiStar AB,SKIS.B,0.0045%
Globe Trade Centre SA,GTC,0.0045%
Norwegian Air Shuttle ASA,NAS,0.0045%
Elecnor SA,ENO,0.0045%
Corticeira Amorim SGPS SA,COR,0.0045%
Clas Ohlson AB,CLAS.B,0.0044%
STRABAG SE,STR,0.0044%
AcadeMedia AB,ACAD,0.0044%
Fincantieri SpA,FCT,0.0044%
Invisio Communications AB,IVSO,0.0044%
Mithra Pharmaceuticals SA,MITRA,0.0044%
Aedas Homes SA,AEDAS,0.0043%
Scandi Standard AB (publ),SCST,0.0043%
Cosmo Pharmaceuticals NV,COPN,0.0043%
Investment AB Oresund,ORES,0.0043%
Raisio Oyj,RAIVV,0.0042%
Takkt AG,TTK,0.0042%
CTT Correios de Portugal SA,CTT,0.0042%
Munters Group AB,MTRS,0.0042%
Guala Closures SpA,GCL,0.0042%
Bonheur ASA,BON,0.0041%
Sparebank 1 Ostlandet,SPOL,0.0041%
Duni AB,DUNI,0.0041%
Koenig & Bauer AG,SKB,0.0041%
Bank Handlowy w Warszawie SA,BHW,0.004%
Tauron Polska Energia SA,TPE,0.004%
Hexagon Composites ASA,HEX,0.004%
Inwido AB (publ),INWI,0.004%
Aston Martin Lagonda Global Holdings PLC,AML,0.004%
Inter Cars SA,CAR,0.004%
Enea SA,ENA,0.0039%
Hoist Finance AB (publ),HOFI,0.0039%
Oncopeptides AB,ONCO,0.0038%
Credito Emiliano SpA,CE,0.0038%
SOL SpA,SOL,0.0038%
Metro Bank PLC,MTRO,0.0038%
Protector Forsikring ASA,PROTCT,0.0038%
Axel Springer SE,SPR,0.0038%
Eurocash SA,EUR,0.0038%
Aker Solutions ASA,AKSO,0.0037%
Karnov Group AB (publ),KAR,0.0037%
Danieli & C Officine Meccaniche SpA,DANR,0.0037%
Palfinger AG,PAL,0.0037%
Halfords Group PLC,HFD,0.0037%
Banca IFIS SpA,IF,0.0037%
Data Respons ASA,DAT,0.0036%
Fjordkraft Holding ASA,FKRAFT,0.0036%
MAN SE,MAN,0.0036%
Mekonomen AB,MEKO,0.0036%
Knowit AB (publ),KNOW,0.0036%
Hoivatilat Oyj,HOIVA,0.0036%
Corem Property Group AB,CORE.B,0.0036%
Qt Group Oyj,QTCOM,0.0036%
Stora Enso Oyj,STEAV,0.0036%
Dampskibsselskabet Norden A/S,DNORD,0.0036%
Genel Energy PLC,GENL,0.0036%
Tobii AB,TOBII,0.0036%
Xvivo Perfusion AB,XVIVO,0.0035%
Ascencio SCA,ASC,0.0035%
Svenska Handelsbanken AB,SHB.B,0.0035%
Sagax AB,SAGA.D,0.0035%
Leoni AG,LEO,0.0035%
Wirtualna Polska Holding SA,WPL,0.0034%
CapMan Oyj,CAPMAN,0.0034%
SAS AB,SAS,0.0034%
Finnair Plc,FIA1S,0.0034%
Sipef NV,SIP,0.0034%
OVS SpA,OVS,0.0034%
Ambea AB (publ),AMBEA,0.0034%
Basware Oyj,BAS1V,0.0034%
Bufab AB (publ),BUFAB,0.0033%
FILA Fabbrica Italiana Lapis ed Affini SpA,FILA,0.0033%
Immobiliare Grande Distribuzione SIIQ SpA,IGD,0.0033%
Juventus FC SpA,JUVE,0.0033%
BioArctic AB,BIOA.B,0.0032%
Shelf Drilling Ltd,SHLF,0.0032%
Ponsse Oyj,PON1V,0.0032%
Stolt-Nielsen Ltd,SNI,0.0032%
Nilfisk Holding A/S,NLFSK,0.0032%
OEM International AB,OEM.B,0.0032%
Bouvet ASA,BOUVET,0.0032%
Tethys Oil AB,TETY,0.0031%
Econocom Group SE,ECONB,0.0031%
Evs Broadcast Equipment SA,EVS,0.0031%
Semapa Sociedade de Investimento e Gestao SGPS SA,SEM,0.0031%
Ion Beam Applications SA,IBAB,0.0031%
Cementir Holding NV,CEM,0.003%
Flughafen Wien AG,FLU,0.003%
Ocean Yield ASA,OCY,0.003%
Momentum Group AB,MMGR.B,0.003%
Sparebanken Vest,SVEG,0.003%
HEBA Fastighets AB,HEBA.B,0.0029%
Alma Media Oyj,ALMA,0.0029%
F-Secure Oyj,FSC1V,0.0029%
B2holding ASA,B2H,0.0029%
VBG Group AB (publ),VBG.B,0.0028%
Wallenius Wilhelmsen ASA,WALWIL,0.0028%
Odfjell Drilling Ltd,ODL,0.0028%
HiQ International AB,HIQ,0.0027%
Jastrzebska Spolka Weglowa SA,JSW,0.0027%
Develia SA,DVL,0.0027%
RaySearch Laboratories AB (publ),RAY.B,0.0027%
Immunovia AB (publ),IMMNOV,0.0026%
Sparebanken More,MORG,0.0026%
AB Skf,SKF.A,0.0026%
Zumtobel Group AG,ZAG,0.0026%
Gielda Papierow Wartosciowych w Warszawie SA,GPW,0.0026%
IAR Systems Group AB,IAR.B,0.0026%
Avance Gas Holding Ltd,AVANCE,0.0026%
Biocartis Group NV,BCART,0.0026%
Famur SA,FMF,0.0025%
Medistim ASA,MEDI,0.0024%
B&S Group SA,BSGR,0.0024%
Bittium Oyj,BITTI,0.0024%
Arnoldo Mondadori Editore SpA,MN,0.0024%
New Wave Group AB,NEWA.B,0.0024%
FACC AG,FACC,0.0024%
Wilh Wilhelmsen Holding ASA,WWI,0.0024%
Hansa Biopharma AB,HNSA,0.0024%
Collector AB,COLL,0.0024%
Avio SpA,AVIO,0.0023%
Boozt AB,BOOZT,0.0023%
Oriola Oyj,OKDBV,0.0023%
Norwegian Property ASA,NPRO,0.0023%
Nordic Waterproofing Holding A/S,NWG,0.0023%
Rovio Entertainment Oyj,ROVIO,0.0022%
Midsona AB,MSON.B,0.0022%
Axactor SE,AXA,0.0022%
Amica SA,AMC,0.0021%
NRC Group ASA,NRC,0.0021%
CIR Compagnie Industriali Riunite SpA,CIR,0.0021%
Kongsberg Automotive ASA,KOA,0.0021%
Echo Investment SA,ECH,0.0021%
Karo Pharma AB,KARO,0.0021%
Samhallsbyggnadsbolaget I Norden AB,SBB.D,0.002%
Salini Impregilo SpA,SAL,0.002%
Otello Corporation ASA,OTELLO,0.002%
Comarch SA,CMR,0.002%
Aspo Plc,ASPO,0.002%
Galliford Try PLC,GFRD,0.0019%
Crayon Group Holding ASA,CRAYON,0.0019%
Altia Oyj,ALTIA,0.0019%
Bergman & Beving AB,BERG.B,0.0019%
Porr AG,POS,0.0019%
11 Bit Studios SA,11B,0.0019%
Pareto Bank ASA,PARB,0.0018%
Self Storage Group ASA,SSG,0.0018%
Kitron ASA,KIT,0.0018%
Husqvarna AB,HUSQ.A,0.0018%
Neuca SA,NEU,0.0018%
Haldex AB,HLDX,0.0018%
VRG SA,VRG,0.0017%
Orbis SA,ORB,0.0017%
Komplett Bank ASA,KOMP,0.0017%
Catena Media PLC,CTM,0.0017%
Eltel AB,ELTEL,0.0017%
Wilh Wilhelmsen Holding ASA,WWIB,0.0017%
American Shipping Company ASA,AMSC,0.0016%
RAK Petroleum PLC,RAKP,0.0015%
Sparebank 1 BV,SBVG,0.0015%
Multiconsult ASA,MULTI,0.0015%
Fjord1 ASA,FJORD,0.0015%
Mota Engil SGPS SA,EGL,0.0015%
Seadrill Ltd,SDRL,0.0015%
Livechat Software SA,LVC,0.0015%
PKP Cargo SA,PKP,0.0015%
Asseco South Eastern Europe SA,ASE,0.0014%
Northern Drilling Ltd,NODL,0.0014%
Sandnes Sparebank,SADG,0.0014%
Hoegh LNG Holdings Ltd,HLNG,0.0014%
Panoro Energy ASA,PEN,0.0014%
XXL ASA,XXL,0.0014%
Nordic Nanovector ASA,NANO,0.0014%
Probi AB,PROB,0.0013%
Infant Bacterial Therapeutics AB,IBT.B,0.0013%
Kvaerner ASA,KVAER,0.0013%
Akastor ASA,AKA,0.0013%
Mennica Polska SA,MNC,0.0012%
Asseco Business Solutions SA,ABS,0.0012%
Apator SA,APT,0.0012%
Playway SA,PLW,0.0012%
Arcus ASA,ARCUS,0.0012%
MPC Container Ships ASA,MPCC,0.0011%
Afarak Group Plc,AFAGR,0.0011%
Sanok Rubber Company SA,SNK,0.0011%
Fabryki Mebli Forte SA,FTE,0.001%
Lubelski Wegiel Bogdanka SA,LWB,0.001%
Agora SA,AGO,0.001%
Netia SA,NET,0.001%
Enter Air SA,ENT,0.0009%
AC SA,ACG,0.0009%
Ryvu Therapeutics SA,RVU,0.0009%
Stalprodukt SA,STP,0.0009%
Polenergia SA,PEP,0.0009%
MLP Group SA,MLG,0.0008%
Magseis Fairfield ASA,MSEIS,0.0008%
Boryszew SA,BRS,0.0008%
Fabryka Farb i Lakierow Sniezka SA,SKA,0.0008%
Auto Partner SA,APR,0.0007%
AB SA,ABE,0.0007%
Rainbow Tours SA,RBW,0.0007%
Stalexport Autostrady SA,STX,0.0007%
Bank Ochrony Srodowiska SA,BOS,0.0006%
Polski Bank Komorek Macierzystych SA,BKM,0.0006%
Atal SA,1AT,0.0006%
Comp SA,CMP,0.0006%
PCC Rokita SA,PCR,0.0005%
Selvita SA,SLV,0.0005%
Zespol Elektrowni Patnow Adamow Konin SA,ZEP,0.0005%
Zespol Elektrocieplowni Wroclawskich Kogeneracja SA,KGN,0.0005%
Elemental Holding SA,EMT,0.0005%
Firma Oponiarska Debica SA,DBC,0.0004%
Polimex Mostostal SA,PXM,0.0004%
Bioton SA,BIO,0.0004%
Mangata Holding SA,MGT,0.0004%
Ambra SA,AMB,0.0004%
Wielton SA,WLT,0.0003%
Getin Noble Bank SA,GNB,0.0003%
Getin Holding SA,GTN,0.0003%
MCI Capital SA,MCI,0.0003%
Poznanska Korporacja Budowlana Pekabex SA,PBX,0.0002%
Polnord SA,PND,0.0002%
Zaklady Tluszczowe Kruszwica SA,KSW,0.0002%
Medicalgorithmics SA,MDG,0.0002%
